time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-13T13:44:14.116Z,-44.3877,168.1088,10,4.1,mwr,31,94,0.784,0.8,us,us6000nyfq,2024-12-23T15:47:22.040Z,"79 km NNW of Arthurs Point, New Zealand",earthquake,2.49,1.858,0.073,18,reviewed,us,us
2022-07-04T15:29:41.678Z,-44.248,168.3505,10,4.4,mb,29,53,0.75,0.29,us,us6000hzs2,2022-09-13T06:22:01.040Z,"81 km NW of Wanaka, New Zealand",earthquake,4,1.6,0.161,14,reviewed,us,us
2022-02-13T14:31:18.476Z,-44.0811,168.7282,3.81,4.3,mb,,87,0.774,0.48,us,us7000gkj7,2022-04-30T14:18:07.040Z,"76 km NNW of Wanaka, New Zealand",earthquake,4.5,4.9,0.189,10,reviewed,us,us
2022-02-13T10:45:49.724Z,-44.0617,168.6747,10,4.7,mb,,76,0.803,0.6,us,us7000gki0,2022-04-30T14:18:06.040Z,"80 km NNW of Wanaka, New Zealand",earthquake,4,1.9,0.148,14,reviewed,us,us
2021-04-22T08:07:32.340Z,-44.1141,168.694,12.03,4.1,mwr,,88,0.749,0.38,us,us6000e3l4,2021-07-03T16:49:01.040Z,"74 km NNW of Wanaka, New Zealand",earthquake,2.5,5.5,0.065,23,reviewed,us,us
2019-06-08T15:24:12.012Z,-44.3469,168.1192,35,4.9,mb,,54,0.801,1.34,us,us70003x8w,2019-08-27T17:47:54.040Z,"85 km NW of Arrowtown, New Zealand",earthquake,5.2,1.9,0.104,29,reviewed,us,us
2018-02-10T08:30:55.080Z,-43.2851,170.4983,6.61,4.3,mwr,,79,0.555,0.48,us,us2000d05h,2018-05-03T22:15:08.040Z,"73 km SSW of Hokitika, New Zealand",earthquake,4.9,5.7,0.042,54,reviewed,us,us
2017-02-03T02:37:56.550Z,-43.5502,170.3111,2.11,4.2,mwr,,84,0.36,0.8,us,us20008ha3,2017-04-27T01:38:42.040Z,"96 km NW of Geraldine, New Zealand",earthquake,2.5,5.9,0.051,37,reviewed,us,us
2017-01-30T13:53:25.240Z,-44.1394,168.679,10,4.9,mb,,98,0.729,0.31,us,us10007w6b,2017-04-27T01:38:38.040Z,"72 km NNW of Wanaka, New Zealand",earthquake,3,1.9,0.324,6,reviewed,us,us
2016-07-25T19:42:25.120Z,-43.6199,168.6578,19.5,4.2,mwr,,94,0.845,0.69,us,us20006hka,2016-09-24T22:47:19.040Z,"126 km NNW of Wanaka, New Zealand",earthquake,4.3,5.9,0.06,27,reviewed,us,us
2016-03-28T03:12:06.990Z,-44.3905,168.6532,10,4.1,mb,,67,0.508,1.1,us,us20005cu5,2016-06-10T23:32:54.040Z,"52 km NW of Wanaka, New Zealand",earthquake,3.4,1.9,0.174,9,reviewed,us,us
2016-02-20T21:32:00.850Z,-43.5183,169.9388,9.24,4.2,mb,,83,0.09,0.63,us,us10004rfj,2016-05-03T23:44:14.040Z,"122 km SW of Hokitika, New Zealand",earthquake,3.7,5.6,0.265,4,reviewed,us,us
2015-11-11T20:03:10.140Z,-44.1167,169.5495,19.72,4.4,mb,,42,0.529,0.9,us,us10003xjp,2016-02-05T03:16:44.040Z,"72 km NNE of Wanaka, New Zealand",earthquake,3,4.8,0.239,5,reviewed,us,us
2015-07-06T05:45:17.530Z,-44.3916,169.7094,10,5.1,mb,,44,0.34,1.08,us,us10002nls,2015-09-30T00:20:58.040Z,"56 km NE of Wanaka, New Zealand",earthquake,6.3,1.7,0.1,32,reviewed,us,us
2014-08-03T10:09:37.840Z,-44.38,169.63,40,4.2,mb,,,,1.04,us,usb000rzms,2014-10-29T19:52:58.000Z,"52 km NE of Wanaka, New Zealand",earthquake,,6.6,0.263,4,reviewed,wel,us
2014-02-16T13:50:23.680Z,-44.1143,168.3612,14.75,4.7,mb,,63,1.202,0.67,us,usc000mria,2014-04-30T21:18:22.000Z,"90 km NW of Wanaka, New Zealand",earthquake,,3.4,0.134,17,reviewed,us,us
2013-12-11T23:59:11.820Z,-44.0523,169.5077,6.563,4.3,mwr,,,,0.75,us,usc000limc,2014-02-21T23:00:53.000Z,"77 km NNE of Wanaka, New Zealand",earthquake,,2.8,0.06,,reviewed,wel,us
2013-10-13T11:54:34.290Z,-44.4921,168.1912,5.117,4,ml,,,,1.4,us,usb000kc8m,2013-12-24T01:43:00.000Z,"69 km NW of Arrowtown, New Zealand",earthquake,,5.3,,,reviewed,wel,wel
2013-10-07T09:48:54.320Z,-44.1666,170.0353,9.922,4.2,ml,,,,0.76,us,usb000k7w5,2013-12-19T02:51:37.000Z,"88 km W of Pleasant Point, New Zealand",earthquake,,6.5,,,reviewed,wel,wel
2013-09-05T07:37:16.290Z,-44.479,169.49,8.6,4.3,ml,,,,1.46,us,usb000ji9k,2013-11-15T03:20:24.000Z,"36 km NE of Wanaka, New Zealand",earthquake,,6.5,,,reviewed,us_wel,us_wel
2013-03-14T17:36:28.980Z,-44.448,168.272,10,4.7,mb,37,60.9,,0.98,us,us2013mtav,2014-11-07T01:50:20.392Z,"69 km NW of Arrowtown, New Zealand",earthquake,,,,3,reviewed,us,us
2012-10-16T03:55:30.250Z,-44.044,169.537,5,4.2,mb,39,49,,,us,usp000ju1h,2014-11-07T01:49:06.019Z,"79 km NNE of Wanaka, New Zealand",earthquake,,,,5,reviewed,wel,us
2012-08-30T19:38:35.570Z,-44.098,168.722,5,4.7,mwr,117,42.5,,,us,usp000jr5t,2015-03-24T01:32:27.718Z,"75 km NNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,us
2012-06-07T14:37:29.830Z,-44.223,169.738,5,4,ml,28,75.4,,,us,usp000jmfj,2014-11-07T01:48:01.722Z,"70 km NE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2012-04-29T21:14:02.090Z,-44.478,168.568,5,4.4,ml,34,79.2,,,us,usp000jjst,2014-11-07T01:47:38.803Z,"52 km WNW of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2012-04-05T23:05:00.960Z,-44.156,169.707,5,4.5,ml,33,82.3,,,us,usp000jh9z,2014-11-07T01:47:26.443Z,"74 km NE of Wanaka, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-06-29T07:43:45.700Z,-43.484,170.277,5,4.1,ml,35,134.4,,,us,usp000j3xs,2014-11-07T01:45:11.727Z,"102 km SSW of Hokitika, New Zealand",earthquake,,,,,reviewed,wel,wel
2011-06-12T02:28:18.540Z,-44.308,168.161,5,5.2,mb,53,67.2,,,us,usp000j30r,2014-11-07T01:45:04.486Z,"86 km NW of Arrowtown, New Zealand",earthquake,,,,2,reviewed,wel,us
